"date","review"
"January 25, 2016","Works great and I haven't stumped it yet when searching for songs"
"June 20, 2017","Love the choices of channel with very little talking"
"June 9, 2016","Well worth getting prime just for the music! I plug my phone up to my AUX cord and listen to all my favorite music. Simple and easy interface!"
"November 4, 2016","Awesome! 1 wish, EQ!!!"
"March 29, 2015","I am not a tech geek and have really not kept up with all the new stuff - but this is amazing. I like I-Heart radio and thought that was good, but to be able to pick my own individual songs (and album if needed) is a wonderful way of creating a playlist just for me!!! LOVE IT"
"October 4, 2017","I LOVE AMAZON MUSIC !!!!!!!"
"June 5, 2013","...but when I am working in Canada I cannot purchase music! Fix this please.  Also, I can't believe this isn't available to Canadians, if you want to make $$$ open this up to Canadians. For Android users there's no options to purchase music like iPhone/iTunes users can. Get with the times man!"
"January 21, 2017","It works decently but pushes to much for unlimited. Difficult to get music set up when your wife has primary email on a family account and you're the second email account. Unlike most amazon products it feels like a money grab."
"February 4, 2016","The streaming music and video services of Amazon are worth the annual fee. It is like the free 2 day shipping is just a nice additional bonus!  The music selection and sound quality are very good. I get a few skips and drops on occasion but that is the only thing that keeps me from giving it 5 stars."
"June 3, 2016","Very difficult to maneuver, unlike Pandora. Also, unlike Pandora, there's no-one to speak to for help and Amazon's electronic help is useless!"
"April 25, 2015","Everytime I played a song it stops 2 or 3 times to ""synch""!!! This is very annoying and distracting and prevents me from enjoying my favorite songs. I did not become a subscriber to be very annoyed. Pandora and Slacker does not ""synch"" why can't you do the same? I am giving you a month to fix this problem and if it stays the same consider my subscription cancelled!"
"October 3, 2017","love this app"
"March 20, 2017","LOVE THIS!!!!"
"March 15, 2016","All the latest music available and for the people in love with the past will love all the choices they have from yesterday's hits. You can store everything simply to your devices and have wherever u go. I don't like that you cannot download and store the music to a SD card other than that great app."
"December 14, 2016","This crashes a few times daily on Chrome. The orange amazon music app on my computer (not browser) updated and has not worked since the last update over a month ago (crashes upon opening). When it works, I do enjoy it thoroughly!"
"August 30, 2017","Limited library, if you only have prime. nice to download for offline listening."
"August 20, 2014","Amazon Music gets 1 star for two reasons. First, because it seems I can no longer download MY music to the SD card on my phone. If I want to download music, it has to be directly to the phone. In the FAQ's in the app, it says that this option is available only on some phones that run Lollipop and KitKat. I just got a new phone that's running Marshmallow, so the option to download music to the SD card is grayed out. I don't choose to clog my phone up with music downloads, or alternatively use up my data streaming it. What is the problem, Amazon? Fix this.  Another issue is that it no longer works with the current version of Ford Sync. There's an option in the app settings that lets Sync control the app through voice activation. If you check that box, Amazon Music crashes. Every single time. I contacted Amazon about this but got no response."
"January 23, 2016","just started using Amazon Music when I run.....having issues with it pausing after every 2nd song or so....might be an issue with my phone, but i don't have this problem with Pandora."
"November 17, 2014","Huge selection, and great audio quality. The user interface is a bit perplexing, and takes some getting used to, and that is why i didn't give it 5 stars. Otherwise great app!  Example of the difficult user interface, Hard to find equalizer settings, forward/rev/play buttons sometimes hide depending on the screen. I think it would be nice if those adjustment controls would be fixed regardless where you navigate."
"January 2, 2016","I love being able to use Prime on all our devices!!"
"May 7, 2015","Charged Battery to 100% before going to BED! Less than 50% charge when I wake up! NO MUSIC or Video playing when I Turn in for the night... JUST Constant useless Notifications from Amazon Apps throughout the day/night!!! Uninstalled All Amazon Apps! Phone back to NORMAL charging every OTHER day! When needed...battery will last up to 4 days! It's a Galaxy MEGA 6.3 inch screen..."
"October 9, 2017","Had it on my old phone, works great."
"September 9, 2017","I love it through my Alexia Dot. it has everything"
"August 28, 2015","Amazon has an extremely limited selection of music compared to Google play music. I tried prime just for streaming music selection trying to save $30/year on music subscription but with the poor selection on Amazon I'm gonna stick with Google."
"December 5, 2015","Have it on kindle HDX 7. Try to play prime music automatically says I have to use this app and takes me a screen that just has a lovely little circle rotating and rotating ( an hour so far) and nothing. No music . Amazon is something wrong with you. You're no longer user friendly and obviously don't read reviews of your apps"
"November 8, 2017","had to cancel after the initial monthly fee, they want to charge for downloads and more. now that I canceled my membership, all my favorites and all the music I put time into finding disappeared."
"July 4, 2014","I have used this app for quite some time. It came installed on my phone as Amazon MP3. I was pleased with the selection and being able to download my purchases to my phone and syncing it with other play lists previously created. Now, with it being the prime music, I can no longer sync it. So now I have to use two different apps to listen to music...DISLIKE!!!  Amazon- please go back to letting us download to our devices so we can use only 1 playlist!"
"July 30, 2017","It is so easy and so many song to choose from that are free"
"March 31, 2015","This app (on a Samsung G4) is very poorly designed. I still can't figure out how to close the app after I start it. There is an option (in the app) to clear the cache and this stops the player. But...why isn't there an option to close. Also (as others have mentioned) the songs are never actually downloaded. They stay in the cloud so you will use your data minutes every time you run it."
"September 19, 2016","I had this app & my phone sent me an update so I did it however after the update the app went away & I purchased a lot of music from you all through this app & now I have no way of retrieving it are you able to help with my issue"
"September 4, 2017","Absolutely love it. All genres are represented. I love oldies, the 50s, and mellow listening. I can listen to all that I wish."
"April 3, 2017","slow Not Responding poorly performing software... free with Prime, but poorly executed. Oh... and content no longer available ... kiss my assish. He's the guy that wrote the code..."
"September 23, 2016","Love Amazon music"
"May 3, 2017","I love this app...it has tons of amazing music choices, easy to use, and my kids love the options for play lists."
"January 19, 2016"," "
"June 6, 2016","Lack of music"
"August 2, 2017","Easy to use"
"June 12, 2016","I love prime music because it has a variety of music. Some songs aren't in their library yet but there's enough there to keep you occupied"
"August 10, 2011","The cool thing about the MP3 app is the Cloud service and the store has some of the music I listen to, is relatively cheaper than iTunes. Cloud service is cool. I really don't have to worry about hogging up the memory on the device and I still have an unlimited data plan and plan to keep until I am forced over to capped plan :)  Now the bad. Performance wise it just sucks. No nice way to put it. I was searching for a song through the app, force closes =/. Attempted to play the song through via cloud, times out and either prompts for a force close or ask to wait. Seems to be hit or miss right now. Maybe its carrier performance or maybe its app, but if i can stream video via Netflix or Crackle, i tend to point to a performance issue with the app. I truly understand the difficulties of having to make the app compatible with the different devices. Like a computer, you can run windows, but depending on hardware you may not be able to run something someone else can. That said, I hope they address the performance issue in the near future. Oh I am using the Motorola Atrix."
"April 25, 2016","It's kinda cool. It has feature like pre loaded Playlist based on artist or genre. I'm taking off one star because the random with the same style of artist isn't very good. Odd combination of artists and not keeping the same vibe sing after song... As an add-on to prime it's excellent."
"July 20, 2016","easy to use"
"October 19, 2016","I wish there were a way it would help me build playlists from my own music collection but aside from that, I like the service as a Prime member. I wouldn't pay the $10/month for a subscription service since I don't listen to that much music."
"August 6, 2014","I have been using this service for about a month now and it has not been as easy to use as Spotify or Google music. I paid for the upgrade to storage space, but it is not allowing me to upload my music from home. It worked for the bit that was on my laptop but it is just not an intuitive system at this point. As I paid for extra music storage space I am hopeful this is resolved soon, it could be a great way for me to store and listen to my music!"
"June 6, 2017","I bought the Premium Subscription I figured Premium means I can download. my music without the player and put it"
"June 13, 2017","Great service through Amazon Prime, but should be unlimited if you are a Prime member. For that reason, 4 stars."
"June 6, 2016","Music plays well, but no way to rate songs in the mobile app. The music selection is very limited and by no way competes with Google Music."
"July 1, 2016","I really like this app. I was able to download my current favorite OCR and listen to it during a road trip. Downloading isn't available for a lot of the Prime music (although, the OCR I mentioned was Prime). If you can and do, though, it saves your data from streaming!"
"April 27, 2016","Music prime is the best! If you are a prime member you are crazy not to use Music prime. It does not cost anymore."
"April 26, 2016","Great quality! Better than other competitors by far!!!"
"August 11, 2016","Unable to download app on my phone. LG G3. Could not update on previous phone version, after update won't even install"
"June 17, 2016","I love it. There are always new free choices available. It is easy to use & navigate. This is just one more reason that prime is great."
"February 1, 2017","While I like having all my AMZ music in one place, it don't use it too often because it is a resource hog. On PC it just consumes memory endlessly. I usually have to chat contact help to get my purchased music on to my list."
"August 9, 2016","bloated unfriendly interface nearly as bad as iTunes since deleted will never reinstall or buy music from amazon again"
"September 29, 2016","Loving Amazon Music."
"October 28, 2016","My goodness if only my Amazon Music Library worked this well...My only complain about the app is the ""recommendations"" which are either repeats of my purchases or whatever is trendy and not to my taste. Otherwise, love this app."
"February 27, 2016","I love that it has lots of music. There are a few songs that I wanted and couldn't find. However, I was able to upload them from the Itunes store. I like that you have so many free songs and if there are other songs you want you can buy them and download them to any device. Overall, a great product."
"August 24, 2014","Amazon keeps messing up. I get the Amazon music app to purchase music from Amazon, now I get this prime muisic garbage that keeps popping up. Why did Ispend money on a product that just shows ads?  Like the Amazon VOD service, it works great on a Kindle that runs android, but if you have an Android tablet, you are out of luvk. Other VOD services do not require a special tavlet but Amazon does. Amazon is getting worse than Apple."
"May 2, 2017","It doesn't sync correctly for years :("
"March 22, 2016","FINALLY a music app that let's YOU decide what songs you listen to! Genious! I am cancelling my pandora subscription immediately. I wish I had known about this app sooner. Awesome job, AZ! AND...a nice plus that the lyrics are displayed on my Samsung Galaxy S4 Active. ABSOLUTELY BRILLIANT!"
"May 27, 2016","Kids"
"August 25, 2011","I have been flipping back and forth between Amazon Cloud Drive and Google Music for my 20,000 song collection. While both user interfaces are sluggish, Amazon MP3 player is by far the worse of the two....to the point of being unusable on my EVO 3d. There are extremely long pauses while browsing my collection and frequent force closes. I really would prefer the functionality and layout of Amazon's app, but the horrible lag in browsing the UI is unacceptable. I cannot recommend this app for large music collections. Instead, look at Google Music or Audiogalaxy (the latter only if you can leave your music collection pc on all day). Both have android clients with usable, albiet slow interfaces for large collections."
"April 30, 2017","Unlimited even better."
"March 17, 2015","I purchased this to use on my Kindle Fire HDX 8.9(3rd generation) with 64 GB...Since the latest software update(Feb 2015) from Amazon for my Kindle I can play no Prime music and the update erased all my downloaded music(2900+ titles) from my Kindle that I had purchased from Amazon. This app also does not work on my Kindle....Amazon suggests that I do a factory reset but says it probably will not work..."
"April 1, 2015","Loved access to free, streaming, commercial free music, but I wanted to download music to my phone so I could listen without a WiFi connection. Even though the app can be moved to my SD card, the music could only download to my phone. It took up too much space and I had to delete it. If they fix this problem, I'd download again immediately, but as of now, its just takes up too much space which interferes with the function of my phone (to the point where I couldn't update my apps)"
"August 12, 2015","Amazon Music with Prime Music is pretty awesome. I'm sure I haven't began to touch on what type of music can be played but I bet Alexa was tired on the 4th of July when we had company and everyone here was giving her commands, she kept right up with them. Way to go Prime Music and Alexa. I haven't tried it in my car."
"June 15, 2016","These are a nice solid piece that isn't heavy in the ear! Good quality. Smoother- no rough edges. They are small but also noticeable."
"October 3, 2017","Love it."
"March 27, 2016","exceptional great playlists"
"January 15, 2016","I initally got Prime just for the shipping and recently started to use prime music since I seen that they had the Beatles. This is definitly worth it since you will be paying about 10/month for similar services for just the streaming. With Prime you get free shipping, music streaming, tv streaming , and more."
"August 7, 2017","Very easy to use and there is a GREAT library of music!"
"June 23, 2016","Great product...smaller than I thought but that was my error...fits small-mouth Mason jars fine. Well packaged and arrived quickly."
"March 30, 2011","even with a great (home) wifi or strong 3g signal after either around 35 minutes or a few ""skips"" playback will become jerky or cease altogether no matter how much ""buffer"" the app shows. clearing the cache and restarting the app sometimes helps but this shouldn't be necessary.id like to see this addressed"
"June 18, 2016","When it is added to the shipping benefits of Amazon prime and Amazon instant video, it's hard to find any reason at all to complain."
"August 5, 2015","Delivered as promised. Thanks."
"January 6, 2015","When I purchased amazon prime I wondered if it would be worth $99 a year, but since it was our goto source for so many of our everyday purchases I thought we would give it a try. Once I discovered prime instant videos, I dropped netflix, which made the purchase of amazon prime, a wash. Then my son in law introduced me to prime music which will enable me to drop my subsription to Pandora. I love Amazon!!!"
"June 22, 2014","While it does look interesting it is quite confusing. As a prime member I thought all the music was free and without ads. But it was hard to navigate and when I did find a song I liked it was for 99 cents. I was led to believe I would have millions of songs at my disposal for no cost. Make it more user friendly and you guys could really become a force."
"June 18, 2015","Loving my Amazon Music! It's my favorite music app and I use it all the time, both for my own collection and to streaming. Super selection of available music. I really like that I can download so many of my favorites for free. Pretty awesome! I feel like I get my moneys worth with my Prime membership with so many benefits available. One of my smarter investments."
"January 8, 2017","The app will no longer launch on any of my Macs. It works fine on my phone."
"November 28, 2016","Love my amazon music. Great selection of music is available. I have down loaded a lot of free Jazz and country. It will not generate a radio station as well as Pandora but it seems to have more music available than Pandora."
"September 12, 2017","Good Application for music and my playlists."
"June 20, 2014","I was nieve, I guess to think the music could be mine on my computer, not understanding that it's all in the ""cloud"". The whole concept is still settling in on my brain. I do like the sample songs, but you have to keep pressing the new song when one is over, they don't just play, one after the other. Dont chuckle at me, Im new to this stuff.....Amazon continues to be a world of wonder and fun, and the music is just another facet of this diamond"
"January 25, 2017","Would have given 5 stars but I got irritated when alexa couldn't find Arya or songs all of a sudden. When we first got our amazon echo, alexa found everything. Then she got stupid until we paid the $. Now it's all good."
"June 21, 2015","Amazon music with prime? I've turned prime down at least 100 times. Suddenly I have prime after an update? Uh, what the hell. Plus the app crashed constantly or just stops. No reason. It just stops. I've shopped with amazon for years but this prime thing and the music app both suck. And stop trying to trick or entice me to use it."
"March 12, 2013","I'll keep this simple and not write pages of exhausting material. This is a perfectly simple player with big time added perks:  It links to your cloud and almost all cd purchases you've ever made on Amazon.  It's on Roku for easy connection to a home surround system.  You can add your own non-Amazon purchased mp3s and download the files to your drive of choice for further use.  The player can be loaded onto multiple devices that all access your material.  To sum up, this is a highly flexible and functional player. Recommend!"
"October 13, 2016","I love free music. I listen to Pandora, and amazon prime. I also like music videos, so I spend some time on youtube. Amazon prime has mixed music, reading music, dancing music, and music for any other occasion you can think of. Good app."
"January 18, 2016","Prime Music is heaven for a music lover, and streaming through the website on my PC is easy.  But the Android app is a thief. It keeps self-starting day & night, without authorization, using battery, running in the background no matter how often I ""Force Stop"" it or report it. I have a huge music library on microSD & flash drives & on my PC as well as in Amazon's cloud library.  I can stream it through my Sony BluRay player to my with screen mirroring from my tablet - but I have to keep the tablet plugged in to keep playing for multiple hours. I don't bother from my phone, except for streaming music during dental work when I can connect, or on my phone during longish drives, plugged into the car charger.  I wish they would fix it so it only started & ran when invited to do so! And to make it actually stop when stopped!"
"July 7, 2016","The music selection available with Prime music has been poor in the past but recently I have been very pleased with the selection and have actually had difficulties finding music they don't have. Prime music is definitely a great bonus to the Prime subscription."
"November 29, 2014","worked fine with my old phone but will not work with my oneplus one. Probably will not renew my Prime if not corrected."
"September 2, 2016","Couldn't find the file after downloading it to my phone. Only figured out that I had to use the Amazon music player to play the MP3 file. The least intuitive music download ever. Even Walmart does a better job at music downloads than Amazon."
"April 9, 2015","Using the one plus causes a plethora of problems. The number one issue is receiving the #181 error message when trying to play music. Please fix!"
"May 17, 2017","Excellent app that goes cross platform. Many genres available."
"March 20, 2016","It would be better if you could download the songs to your device."
"May 11, 2016","I love Amazon Music and the fact that you can download the music for offline listening but the fact that it drains my battery kills me. I won't even have the app running in the background or anything and I'll come back to my phone in 2 hours and 50% of the battery is drained."
"April 27, 2016","Hard to manipulate and get to where I want to go for the music I downloaded. Unclear where the music is set and to what playlist it goes. It is great if your looking for certain song to play you just look it up and play but trying to retrieve it again takes a little finagling."
"June 26, 2017","Works great! Keep making it better and keep adding more music"
"February 16, 2016","I was a little surprised. Amazon must have updated some stuff because the first time I tried it I hated it and i wrote it off as a Napster/ITUNES wannabe. I'm kind of a music junky, I need it everyday even if only for fifteen minutes. I'm very pleased with Amazon music. Will recommend to friends."
"June 30, 2014","I like the Amazon music service and the new Prime Music seems like a great idea, but when I discover new music and want to download it so I can listen to it without being connected it doesn't always work and is very frustrating. If they make it more simple and allow music to be stored to external memory card I would be happy and be able to purchase slot of music. I miss the old player so I use the standard player that came with my Samsung Galaxy S3·"
"January 23, 2016","I'm not a fan of annual fees that only provide SOME of the service, and peretual nickle & dime fees for eternity. Either pay as you go or make the annual subscription all-inclusive. Other than that, the music that IS included with the subscription fee is pretty extensive, so I'm kinda just nit picking."
"July 2, 2015","Awesome app. Love, love, and more love. Gives you the ability to download the playlists and skip anything you want...with no commercials. You can even randomize the playlists, and more. I just turn on Bob Marley's greatest hits by the pool. If you're a Prime member, there's a MASSIVE selection of music that is...wait for it...completely and totally...FREE!"
"February 10, 2016","Love it.  I use it with my local Wi-Fi on my Android.  Perfect app if you have AmazonPrime, and thus have seemingly limitless access to titles that span more than half a century, without having to pay for them, which makes paying for the occasional title not seem so big a deal."
"March 31, 2015","Good free music is always nice. Streams to my Laptop and smart phone fast, also the cloud is good to have."
"August 17, 2014","Really enjoying this added benefit to my prime membership. I'm just not someone who will generally pay for music, when I can just turn on the radio. But I have to admit it is really nice to be able to put together your own playlist and listen to what you like as an added free benefit. The site has been fairly easy to navigate even for a 50-something guy like me. Give it a try, I think everyone would find something they like on here."
"May 31, 2017","I love Amazon Music. I downloaded a lot of music and Amazon Music makes it sooooo easy to do."
"August 10, 2014","If you are a Prime member and enjoy music, you'll want to check out all the FREE Prime Music offerings, but you'll need this app to be able to have all the selections play accurately and to enable you to download selections to your devices.  I love the Amazon Music with Prime Music application as it makes it easy to see your music at a glance; either by artist, album or playlist. You can also use the Search in the app to find other Prime Music you may have missed and easily add it to your Library.  This app upgrades your paid music too, so you never lose anything you may have already purchased on Amazon. If you have the Amazon Cloud Player, this Amazon Music with Prime Music is essentially an upgrade to that player with the focus on Prime offerings."
"August 20, 2015","Great product. We have had this for months now on our laptop and phones. It has kind of replaced iTunes and Pandora for us. Although my wife still listens to Pandora every once in a while. The promo credit for shipping on a longer time schedule gave us the opportunity to buy lots of songs for free, now we are hooked. Too bad that promo ended."
"November 6, 2015","Love Amazon music. Prime music is awesome. I have the ability to sample most music before I buy and Amazon Prime Playlists are free to listen to, giving me the ability to choose what music I want on the fly. I also love the unlimited skip feature, which means that I never have to listen to a song that I don't care for."
"June 10, 2017","Was so much better until they launched their Unlimited service. I guess my Prime membership is not worth as much as it used to be."
"August 28, 2017","Love the music app I can take my music anywhere I go on all my devices"
"August 30, 2017","Love this app. Very easy to use."
"October 11, 2016","I love the variety of music that Prime Music provided. Whatever songs you're looking for from current to oldies, Prime Music has it. I created a list of songs that I like to listen to everyday and a list just for the gym. I love it!"
"July 20, 2017","It's got a long way to go if it's ever going to compete with other internet music providers."
"November 27, 2016","Playlist are just okay and new music could be guessed...wish more independent were hyped...how about imports and one time issues from artists? Not even an option to buy...music has far more fast or a lexicon...generic app!"
"January 25, 2017","Love it Enjoy it wonderful to have on my pc and tablet . And amazing on the amount of music available that's even hard to find. Best thing I ever did via Amazon FIRE HD Tablet More than satisfactory Thank you Amazon"
"June 1, 2017","To much stuff at the beginning, liked the other app android"
"August 7, 2017","love this additional feature on the Prime, keep adding values to our membership!"
"December 14, 2016","Beautiful choices are made available to us. I listened to the original sound recording of Hamilton with words screened on my phone. To enhance the quality I listened through my Bose Bluetooth. Incredible experience."
"July 18, 2017","Love it easy to download thanks"
"June 17, 2015","I love Amazon Music all I have to do is click on the icon pick one of the many free downloads of music I have picked and sing and soar off into dreamland.All you have to do is select a song or artist and scroll thru the many selections of songs for that artist. Thanks Amazon I love you guys the best thing that has happened since I've been a member. Lady Gee"
"August 1, 2014","I dont like the app at all.. I always used the amazon mp3 player and loved it. When I upgraded to the amazon prime music I have had nothing but trouble out of app. Always gives me payment errors when I try to buy music, freezes up and wont let me change songs. I wish I would have stayed with amazon mp3 player and not changed to this."
"February 4, 2016","I have enjoyed Prime Music's access to any hit I want anytime I want it. I have perused new music, classics--lots of genres. The one and only hitch I see is that it's not always easy to pull up older music. Simple to get new stuff though, and since it's usable on lots of devices it's quite handy."
"April 3, 2016","love that i can listen to entire tracks, and play what i want! sometimes the randomness of pandora isnt quite what im wanting, this fills those needs! Wish i could keep my prime account, but $100 at once is difficult.....now if it was $10/month....like everything else....just sayin"
"December 21, 2016","I thought I loved you Amazon, but it turns out you're just like all the others...  No, really, I liked Amazon because it delivered clean MP3's to my phone that I could transfer to my computer using simple drag and drop from the phone/pc directories. This is EXACTLY why I gave up my IPhone and went to Android, to then find out I had to boycott Google Play too, who, as it turns out, is even more insidious at highjacking your music.  I just want to buy music and be in control of it. I want to be able to manipulate it. I don't want to use a third party cloud storage system. I trust my own ability to keep my music safely backed up,  One last thing - Amazon was awesome too because it didn't conflict with my car's Bluetooth. My car would switch to voice control and back to music seamlessly which Google play never did but the Samsung music player did. Now Amazon, this messes that up again because now I have to get a 3rd party app to unencrypt all of my music on Amazon AGAIN and transfer it to my PC AGAIN, then move it back to my phone to use the stock music player so it works properly in my car.  Yep, I'm divorcing you. So disappointed."
"August 3, 2015","Puts songs directly onto device storage. Needs an option for putting music directly onto the SD card. I've been downloading a few songs at a time and transferring them - a slow process. As for Prime music - it seems to hide it on the device storage with no way of moving to the CD card - My phone was running out of storage until I realized this."
"November 10, 2014","Best site for music ever. I've never had a problem using Amazon Music and with Prime Music tons of my favorite music is free!! Yippee!"
"February 19, 2015","Pain in the but, skips songs so the qualilty is ify and i tried my high speed wifi or my 4G LTE. Makes me reconsider buying from amazon music vs itunes. Only downloaded it because I'm a prime member and I got free music, well, you get what you ""pay for"". only pro was the music i could get but you cant download it to your itunes or any other program its strictly stuck with them."
"June 17, 2016","Music ALL day, what's not too like... Only thing I do not like is that after a couple of hours, about 8hrs, music does repeat."
"February 23, 2016","I am such a huge fan of amazon prime music. I have used other programs in the past, but the selection is hard to beat. I love using the different study mixes as I prepare lectures. My favorite part is the lack of commercials and a price tag seeing as it is included with my prime membership!"
"May 5, 2016","great music selection I play it every day. sick of the Television rubbish ( let music be the food of love ) my only gripe is that when I downloaded the Amazon Prime Music app onto my Android Tablet there is no sound ?. I don't know if everybody as this problem great pity."
"May 15, 2016","It's a nice service, but the selection is limited. And it changes. You could put a song in your playlist today, and tomorrow the rights are pulled and you can no longer access that song or that album. I also find the phone app really annoying and difficult to navigate."
"March 29, 2016","Arguably the best feature of being a prime member.  The playlists, the stations, the ability to download albums for offline playback...ALL FOR FREE (as a Prime Member) makes this a must have.  If you are a prime member and are not utilizing this app, you are missing out!"
"September 16, 2017","I have no idea how to use this and in it doesn't come with any directions and I'm paying for something for nothing"
"November 23, 2015","No competitive pricing on new CDs. I think it's a little difficult to use."
"June 21, 2017","easy to use, love it!"
"January 11, 2016","My Samsung S6 did an update recently, and now most of my music library on here is gone. The downloaded ones, and the cloud ones. Yes, even the music I bought, not just bummed off of prime. My google play music has stayed the same during this update. Loved this app until that, not I just don't bother."
"September 8, 2015","At this point and time I have to give it a bad review. The app worked great until an update would only play songs I had purchased from other apps none of the amazon prime songs would play! So I uninstalled it and reinstalled it and now it comes up with a message that states my device cannot be authenticated! App won't even open now!"
"June 29, 2016","Great app"
"August 3, 2015","Great app. Was able to easily get and download the albums I bought on Amazon. The app was automatically updated once I purchased the album and when I opened the app I could easily download the albums to my phone and tablet."
"July 21, 2015","I previously used Spotify almost exclusivly. When Amazon released this app I tried it out and was very suprised at the amount of music available. The stations are pretty good and you can easily download music to your devices."
"June 7, 2017","While I am a huge fan of Amazon music unlimited, i learned something by accident that I believe people need to know about! If you somehow log off the app or get logged off, all of your downloaded music goes away and you're forced to re-download it all, and like a previous reviewer said, there is no ""download all"" option so you need to download them individually. Amazon needs to warn people about this policy, or change it!"
"December 9, 2015","Aside from the free delivery, the movies that are presented are way outdated. And I already have Rhapsody, so I have no use for Amazon Prime music. I intend to cancel the subscription. Amazon Prime, needs to get better up to date movies to watch. That would make the subscription more worthwhile."
"November 19, 2015","Constantly crashes on my HTC m9. Had to disable app. Can't even uninstall."
"June 18, 2016","I need help bringing up the original classic rock and roll mixed that I had the first time. Music is great! Once I get it."
"June 16, 2016","I have been so HAPPY with Amazon Music, all of the FREE music you are able to download with a prime make the Prime Membership well worth it! The app Itself works great, loads fast and has little to no buffering. Another A+ by Amazon, At the gym is my most favorite time to use the app, with my prime membership most all of my favorite workout songs were FREE to download!! I love the Amazon Music App!"
"January 10, 2016","Pandora must buffer more or something, because they don't skip like amazon does.. It seems like amazon has to reload the music every time a new song comes on. Not seamless."
"October 7, 2015","All in all I have nothing to complain about, those 2 apps for video cameras are not working right (city cam and ispy) and I might be taking them off. The city cam freezes my phone and ispy is not coming in as it should, I have ispy on my windows 8 phone and on that platform it works right,but on the android it is scrambled."
"June 18, 2014","Downloaded this on a Nexus 5, every time it starts it just complains that it is not authenticated and errors out. This is before any prompt asking for authentication or anything. Downloaded from both the Amazon appstore and Google Play. Same result.  When Amazon innovates (Kindle, One-Click, Prime shipping) they hit grand slams. When they copy (Kindle Fire, Appstore, Prime TV, Fire TV, Prime Music, phone??) they come up way short."
"June 10, 2016","Could not get it to work on my Samsung Note 5. Had it, added another amazon app, and this stopped working. I removed and reinstalled with no success. Moving to PLAY Music. Stupid to give a cryptic error and have no support."
"October 7, 2015","I love it! It is so much cooler than Pandora. Especially since I have Prime. No comercials!"
"March 19, 2016","Prime+music=what's not to like."
"April 15, 2015","The music talks! I guess this is a good deal, when compared to, for example, Spotify. You get on-demand, ad-free music, plus other amazon-prime benefits. Part of a bundle deal, if you ask me! Amazon Music is like the added bonus for your shopping experience on Amazon; it seems as if it were already free (but not really). Amazon Music is the cherry on top any ol' cake."
"July 14, 2016","I have really enjoyed using amazon music with prime membership. Good selections and variety. I love ALL that prime membership has to offer. The 2 day shipping, amazon video, and music. It's a no brainer for me. Amazon is my GO TO spot for all my needs"
"May 25, 2016","I love it !!! Always playing exactly what I am looking for. I haven't tried to explore it's capabilites much because it does an awesome job on playing a good mix. I do wonder if I can play a specific song that I have on my mind at the moment. Might try to do this."
"May 5, 2017","I love Amazon Prime and everything that comes along with it. Amazon Music has such a great selection of music."
"July 18, 2017","Works great with Alexa and Echo Dot"
"July 23, 2015","Wow! What a great way to discover new music, create your own playlist or listen to one of theirs. Those songs that are Prime Eligible (free) you can also download to your device. Don't know if I will go back to iTunes again."
"June 19, 2016","Help system is terrible. Trying to figure out how to use the system when my husband is the primary member is ridiculous."
"June 25, 2016","The fact that you can download songs and playlists for free was unexpected. Definitely a great perk for prime members."
"January 20, 2016","This is cool. Like having my own Pandora"
"March 22, 2014","I have been using Amazon exclusively for all my music purchases for years and loved it. Unfortunately, a recent update to all Amazon apps requires them to be linked to one account. Now I have to choose whether to have access to my music and apps or to have access to my Kindle books which are on a separate account. Very disappointing, especially when you consider that Amazon does not all me to merge my two accounts into one. Guess I need to find a new music service."
"January 19, 2016","For a little more than the monthly cost of Pandora One you get to pick your songs & artists with unlimited skips, Amazon Video...and 2-day shipping on Prime purchases!"
"August 16, 2016","Great product."
"September 2, 2016","Lots of new and different types of music to try and experiment with. It's nice that it is included with the prime membership other wise I may not have even bothered using it.  You can download a few items to make them available offline or when your connection is spotty, but after a while they are removed and you have to redownload them.  I mainly use it to listen to classical music, and I have been able to find three new bands/musicians which I really like and would not have known about otherwise."
"March 1, 2016","I like prime music. Being able to stream and download music is really nice in the car. You can can choose what songs you are listening to instead of a radio type app (like Pandora). I haven't noticed my data use increase from other music apps. The download feature is really nice."
"January 8, 2014","This was always a full 5 star for me (I use it on my Asus/Google Nexus 7). With the last update, suddenly you can no longer long tap on a song or artist and ""Add to Now Playing"". Very annoying drop, and no real reason to lose it. Please bring this back, Amazon. Knocked off a point for losing this feature. Not super thrilled with the new interface either, but change is change as far as aesthetics. Bring back Add to Now Playing (like Add to Queue from Google Play Music)."
"December 7, 2015","I love my Amazon Prime. There are so many qualities about Prime, I honestly dont know where to start. I get 2 day delivery for free. I also get free music that comes with a lot of options. You can also at friends to the Prime membership. There are so many benefits you must get to explore all of them."
"May 22, 2016","Useless and poor. Ask to pay another Prime suscription as it says that m'y account is not the same where it s working fine on PC."
"May 17, 2015","I love this app. Love buying all the old songs! Glad I don't really have to buy MP3 just to listen & buy all the old songs!!"
"October 30, 2017","1. Not compatible with Samsung S7! I had to try very hard to install. 2. Loaded music for some reason is divided into many categories for 2-3 songs. This is inconvenient, leave it as it is on the SD-card!"
"May 18, 2016","I love the fact that I get to here album versions of my favorite music whenever and wherever I want to! Very enjoyable!  http://www.amazon.com/Until-Death-Do-You-Part/dp/1530879183/ref=sr_1_4?ie=UTF8&qid=1459863293&sr=8-4&keywords=until+death+do+you+part"
